日期,天气状况,风力风向(夜间/白天),最低气温,最高气温
2016年12月01日,晴  /晴,东北风 ≤3级  /东北风 ≤3级,4,16
2016年12月02日,多云  /多云,北风 ≤3级  /北风 ≤3级,8,13
2016年12月03日,多云  /多云,北风 ≤3级  /北风 ≤3级,8,14
2016年12月04日,雾  /晴,东北风 ≤3级  /东北风 ≤3级,8,19
2016年12月05日,晴  /晴,北风 ≤3级  /北风 3-4级,5,21
2016年12月06日,晴  /晴,北风 ≤3级  /北风 ≤3级,4,16
2016年12月07日,晴  /晴,北风 ≤3级  /北风 ≤3级,4,18
2016年12月08日,晴  /晴,北风 ≤3级  /北风 ≤3级,6,21
2016年12月09日,晴  /晴,北风 ≤3级  /北风 ≤3级,7,21
2016年12月10日,晴  /晴,北风 ≤3级  /北风 ≤3级,7,16
2016年12月11日,多云  /多云,北风 ≤3级  /北风 ≤3级,8,14
2016年12月12日,阵雨  /阵雨,北风 ≤3级  /北风 ≤3级,10,15
2016年12月13日,小雨  /阴,北风 ≤3级  /北风 ≤3级,6,11
2016年12月14日,阴  /阴,北风 3-4级  /北风 ≤3级,3,10
2016年12月15日,阴  /多云,北风 ≤3级  /北风 ≤3级,3,12
2016年12月16日,晴  /晴,北风 ≤3级  /南风 ≤3级,2,13
2016年12月17日,多云  /多云,南风 ≤3级  /南风 ≤3级,2,14
2016年12月18日,多云  /阵雨,北风 ≤3级  /北风 ≤3级,8,16
2016年12月19日,中雨  /小雨,北风 ≤3级  /北风 ≤3级,9,12
2016年12月20日,中雨  /中雨,北风 ≤3级  /北风 ≤3级,9,11
2016年12月21日,小雨  /多云,北风 ≤3级  /北风 ≤3级,6,11
2016年12月22日,晴  /晴,北风 ≤3级  /北风 ≤3级,3,15
2016年12月23日,多云  /阴,北风 ≤3级  /北风 ≤3级,6,14
2016年12月24日,小雨  /小雨,北风 ≤3级  /北风 ≤3级,7,11
2016年12月25日,小雨  /小雨,北风 ≤3级  /北风 ≤3级,5,9
2016年12月26日,小雨  /晴,北风 3-4级  /北风 3-4级,3,6
2016年12月27日,晴  /晴,北风 ≤3级  /北风 ≤3级,1,12
2016年12月28日,多云  /阴,北风 ≤3级  /北风 ≤3级,0,9
2016年12月29日,晴  /晴,北风 ≤3级  /北风 ≤3级,1,11
2016年12月30日,晴  /晴,北风 ≤3级  /北风 ≤3级,2,12
2016年12月31日,晴  /多云,北风 ≤3级  /北风 ≤3级,3,15
