0,1,2,3
日期,天气状况,最低气温/最高气温,风力风向(夜间/白天)
2021年10月01日,晴  /多云,24℃  /  33℃,南风 1-2级  /南风 1-2级
2021年10月02日,晴  /晴,25℃  /  36℃,南风 1-2级  /南风 1-2级
2021年10月03日,晴  /晴,24℃  /  37℃,南风 1-2级  /南风 1-2级
2021年10月04日,晴  /晴,25℃  /  35℃,南风 1-2级  /南风 1-2级
2021年10月05日,晴  /晴,18℃  /  37℃,北风 1-2级  /北风 1-2级
2021年10月06日,多云  /多云,18℃  /  29℃,北风 3-4级  /北风 3-4级
2021年10月07日,多云  /多云,16℃  /  22℃,东北风 1-2级  /东北风 1-2级
2021年10月08日,阴  /阴,17℃  /  21℃,东北风 1-2级  /东北风 1-2级
2021年10月09日,中雨  /中雨,17℃  /  19℃,北风 1-2级  /北风 1-2级
2021年10月10日,小雨  /阴,12℃  /  18℃,北风 1-2级  /北风 1-2级
2021年10月11日,阴  /阴,12℃  /  16℃,北风 1-2级  /北风 1-2级
2021年10月12日,晴  /阴,14℃  /  20℃,北风 1-2级  /北风 1-2级
2021年10月13日,小雨  /小雨,15℃  /  16℃,北风 3-4级  /北风 3-4级
2021年10月14日,小雨  /小雨,16℃  /  18℃,北风 1-2级  /北风 1-2级
2021年10月15日,小雨  /小雨,13℃  /  17℃,北风 3-4级  /北风 3-4级
2021年10月16日,小雨  /小雨,10℃  /  13℃,北风 1-2级  /北风 1-2级
2021年10月17日,阴  /阴,9℃  /  15℃,东北风 1-2级  /东北风 1-2级
2021年10月18日,阴  /多云,11℃  /  17℃,东南风 1-2级  /东南风 1-2级
2021年10月19日,小雨  /中雨,13℃  /  16℃,北风 1-2级  /北风 1-2级
2021年10月20日,中雨  /小雨,10℃  /  14℃,北风 3-4级  /北风 3-4级
2021年10月21日,小雨  /小雨,9℃  /  12℃,北风 1-2级  /北风 1-2级
2021年10月22日,阴  /阴,9℃  /  15℃,北风 1-2级  /北风 1-2级
2021年10月23日,阴  /晴,10℃  /  19℃,东北风 1-2级  /东北风 1-2级
2021年10月24日,晴  /晴,9℃  /  21℃,东北风 1-2级  /东北风 1-2级
2021年10月25日,晴  /晴,10℃  /  22℃,东风 1-2级  /东风 1-2级
2021年10月26日,多云  /多云,14℃  /  23℃,北风 1-2级  /北风 1-2级
2021年10月27日,多云  /小雨,12℃  /  21℃,北风 1-2级  /北风 1-2级
2021年10月28日,多云  /小雨,15℃  /  20℃,东北风 1-2级  /东北风 1-2级
2021年10月29日,小雨  /多云,13℃  /  17℃,北风 1-2级  /北风 1-2级
2021年10月30日,多云  /小雨,14℃  /  20℃,东北风 1-2级  /东北风 1-2级
2021年10月31日,小雨  /小雨,15℃  /  17℃,北风 1-2级  /北风 1-2级
