0,1,2,3
日期,天气状况,最低气温/最高气温,风力风向(夜间/白天)
2016年10月01日,阴  /多云,17℃  /  21℃,北风 ≤3级  /北风 ≤3级
2016年10月02日,多云  /多云,18℃  /  27℃,北风 ≤3级  /北风 ≤3级
2016年10月03日,晴  /多云,18℃  /  30℃,北风 ≤3级  /北风 ≤3级
2016年10月04日,晴  /多云,19℃  /  30℃,北风 ≤3级  /北风 ≤3级
2016年10月05日,晴  /多云,18℃  /  30℃,北风 ≤3级  /北风 ≤3级
2016年10月06日,-  /多云,21℃  /,北风 ≤3级  /北风 ≤3级
2016年10月07日,-  /多云,21℃  /,北风 3-4级  /北风 3-4级
2016年10月08日,多云  /多云,18℃  /  25℃,北风 3-4级  /北风 3-4级
2016年10月09日,多云  /多云,16℃  /  24℃,北风 ≤3级  /北风 ≤3级
2016年10月10日,多云  /多云,16℃  /  24℃,北风 ≤3级  /北风 ≤3级
2016年10月11日,多云  /阴,17℃  /  25℃,北风 ≤3级  /东北风 ≤3级
2016年10月12日,阴  /多云,15℃  /  22℃,东北风 ≤3级  /东北风 ≤3级
2016年10月13日,阴  /阴,16℃  /  20℃,北风 ≤3级  /北风 ≤3级
2016年10月14日,阴  /阴,16℃  /  21℃,北风 ≤3级  /北风 ≤3级
2016年10月15日,多云  /多云,17℃  /  25℃,北风 ≤3级  /北风 ≤3级
2016年10月16日,多云  /多云,18℃  /  26℃,北风 ≤3级  /北风 ≤3级
2016年10月17日,多云  /多云,19℃  /  26℃,北风 ≤3级  /北风 ≤3级
2016年10月18日,多云  /小雨,19℃  /  25℃,北风 ≤3级  /北风 ≤3级
2016年10月19日,小雨  /小雨,19℃  /  21℃,北风 ≤3级  /北风 ≤3级
2016年10月20日,阵雨  /阴,19℃  /  21℃,北风 ≤3级  /北风 ≤3级
2016年10月21日,阴  /阵雨,19℃  /  23℃,北风 ≤3级  /北风 ≤3级
2016年10月22日,小雨  /小雨,19℃  /  22℃,北风 ≤3级  /北风 ≤3级
2016年10月23日,阴  /阴,15℃  /  20℃,北风 3-4级  /北风 ≤3级
2016年10月24日,小雨  /小雨,14℃  /  17℃,北风 ≤3级  /北风 ≤3级
2016年10月25日,小雨  /阴,14℃  /  16℃,北风 ≤3级  /北风 ≤3级
2016年10月26日,阴  /多云,15℃  /  22℃,北风 ≤3级  /北风 ≤3级
2016年10月27日,阴  /阴,12℃  /  21℃,北风 ≤3级  /北风 3-4级
2016年10月28日,阵雨  /小雨,10℃  /  15℃,北风 3-4级  /北风 3-4级
2016年10月29日,小雨  /阴,9℃  /  11℃,北风 3-4级  /北风 ≤3级
2016年10月30日,阴  /阵雨,10℃  /  15℃,北风 ≤3级  /北风 ≤3级
2016年10月31日,小雨  /小雨,11℃  /  13℃,北风 3-4级  /北风 ≤3级
